Time,Unsubtracted Weight,Baseline Weight,Program Temperature,Sample Temperature,Sample Purge Flow,Balance Purge Flow, 
3.833333,4.445997,0.000000,91.870000,89.590000,0.000000,0.100000, 
3.850000,4.445962,0.000000,92.210000,89.930000,0.000000,0.100000, 
3.866667,4.445926,0.000000,92.540000,90.250000,0.000000,0.100000, 
3.883333,4.445891,0.000000,92.880000,90.560000,0.000000,0.100000, 
3.900000,4.445891,0.000000,93.210000,90.880000,0.000000,0.100000, 
3.916667,4.445855,0.000000,93.540000,91.220000,0.000000,0.100000, 
3.933333,4.445855,0.000000,93.880000,91.580000,0.000000,0.100000, 
3.950000,4.445820,0.000000,94.210000,91.930000,0.000000,0.100000, 
3.966667,4.445820,0.000000,94.540000,92.280000,0.000000,0.100000, 
3.983333,4.445784,0.000000,94.870000,92.610000,0.000000,0.100000, 
4.000000,4.445784,0.000000,95.210000,92.920000,0.000000,0.100000, 
4.016667,4.445784,0.000000,95.540000,93.240000,0.000000,0.100000, 
4.033333,4.445749,0.000000,95.880000,93.570000,0.000000,0.100000, 
4.050000,4.445713,0.000000,96.210000,93.920000,0.000000,0.100000, 
4.066667,4.445678,0.000000,96.540000,94.270000,0.000000,0.100000, 
4.083333,4.445678,0.000000,96.870000,94.620000,0.000000,0.100000, 
4.100000,4.445678,0.000000,97.210000,94.960000,0.000000,0.100000, 
4.116667,4.445678,0.000000,97.540000,95.290000,0.000000,0.100000, 
4.133333,4.445678,0.000000,97.880000,95.610000,0.000000,0.100000, 
4.150000,4.445678,0.000000,98.210000,95.930000,0.000000,0.100000, 
4.166667,4.445678,0.000000,98.540000,96.260000,0.000000,0.100000, 
4.183333,4.445678,0.000000,98.870000,96.610000,0.000000,0.100000, 
4.200000,4.445642,0.000000,99.210000,96.950000,0.000000,0.100000, 
4.216667,4.445642,0.000000,99.540000,97.310000,0.000000,0.100000, 
4.233333,4.445607,0.000000,99.880000,97.640000,0.000000,0.100000, 
4.250000,4.445642,0.000000,100.210000,97.970000,0.000000,0.100000, 
4.266667,4.445642,0.000000,100.540000,98.300000,0.000000,0.100000, 
4.283333,4.445642,0.000000,100.870000,98.620000,0.000000,0.100000, 
4.300000,4.445642,0.000000,101.210000,98.960000,0.000000,0.100000, 
4.316667,4.445642,0.000000,101.540000,99.300000,0.000000,0.100000, 
4.333333,4.445607,0.000000,101.880000,99.640000,0.000000,0.100000, 
4.350000,4.445607,0.000000,102.210000,99.980000,0.000000,0.100000, 
4.366667,4.445607,0.000000,102.540000,100.330000,0.000000,0.100000, 
4.383333,4.445607,0.000000,102.870000,100.660000,0.000000,0.100000, 
4.400000,4.445571,0.000000,103.210000,100.980000,0.000000,0.100000, 
4.416667,4.445571,0.000000,103.540000,101.310000,0.000000,0.100000, 
4.433333,4.445571,0.000000,103.880000,101.640000,0.000000,0.100000, 
4.450000,4.445536,0.000000,104.210000,101.990000,0.000000,0.100000, 
4.466667,4.445536,0.000000,104.540000,102.320000,0.000000,0.100000, 
4.483333,4.445536,0.000000,104.870000,102.660000,0.000000,0.100000, 
4.500000,4.445536,0.000000,105.210000,103.000000,0.000000,0.100000, 
4.516667,4.445501,0.000000,105.540000,103.330000,0.000000,0.100000, 
4.533333,4.445501,0.000000,105.880000,103.670000,0.000000,0.100000, 
4.550000,4.445501,0.000000,106.210000,104.000000,0.000000,0.100000, 
4.566667,4.445465,0.000000,106.540000,104.330000,0.000000,0.100000, 
4.583333,4.445465,0.000000,106.870000,104.670000,0.000000,0.100000, 
4.600000,4.445465,0.000000,107.210000,105.020000,0.000000,0.100000, 
4.616667,4.445465,0.000000,107.540000,105.350000,0.000000,0.100000, 
4.633333,4.445465,0.000000,107.880000,105.680000,0.000000,0.100000, 
4.650000,4.445430,0.000000,108.210000,106.010000,0.000000,0.100000, 
4.666667,4.445430,0.000000,108.540000,106.350000,0.000000,0.100000, 
4.683333,4.445430,0.000000,108.870000,106.690000,0.000000,0.100000, 
4.700000,4.445394,0.000000,109.210000,107.030000,0.000000,0.100000, 
4.716667,4.445394,0.000000,109.540000,107.360000,0.000000,0.100000, 
4.733333,4.445394,0.000000,109.880000,107.700000,0.000000,0.100000, 
4.750000,4.445359,0.000000,110.210000,108.030000,0.000000,0.100000, 
4.766667,4.445359,0.000000,110.540000,108.370000,0.000000,0.100000, 
4.783333,4.445359,0.000000,110.870000,108.700000,0.000000,0.100000, 
4.800000,4.445359,0.000000,111.210000,109.030000,0.000000,0.100000, 
4.816667,4.445323,0.000000,111.540000,109.360000,0.000000,0.100000, 
4.833333,4.445323,0.000000,111.880000,109.710000,0.000000,0.100000, 
4.850000,4.445323,0.000000,112.210000,110.050000,0.000000,0.100000, 
4.866667,4.445323,0.000000,112.540000,110.380000,0.000000,0.100000, 
4.883333,4.445323,0.000000,112.870000,110.710000,0.000000,0.100000, 
4.900000,4.445288,0.000000,113.210000,111.040000,0.000000,0.100000, 
4.916667,4.445288,0.000000,113.540000,111.380000,0.000000,0.100000, 
4.933333,4.445288,0.000000,113.880000,111.720000,0.000000,0.100000, 
4.950000,4.445288,0.000000,114.210000,112.060000,0.000000,0.100000, 
4.966667,4.445252,0.000000,114.540000,112.390000,0.000000,0.100000, 
4.983333,4.445217,0.000000,114.870000,112.720000,0.000000,0.100000, 
5.000000,4.445217,0.000000,115.210000,113.060000,0.000000,0.100000, 
5.016667,4.445217,0.000000,115.540000,113.400000,0.000000,0.100000, 
5.033333,4.445181,0.000000,115.880000,113.730000,0.000000,0.100000, 
5.050000,4.445181,0.000000,116.210000,114.080000,0.000000,0.100000, 
5.066667,4.445181,0.000000,116.540000,114.400000,0.000000,0.100000, 
5.083333,4.445181,0.000000,116.870000,114.730000,0.000000,0.100000, 
5.100000,4.445146,0.000000,117.210000,115.060000,0.000000,0.100000, 
5.116667,4.445146,0.000000,117.540000,115.400000,0.000000,0.100000, 
5.133333,4.445146,0.000000,117.880000,115.740000,0.000000,0.100000, 
5.150000,4.445146,0.000000,118.210000,116.080000,0.000000,0.100000, 
5.166667,4.445146,0.000000,118.540000,116.420000,0.000000,0.100000, 
5.183333,4.445146,0.000000,118.880000,116.740000,0.000000,0.100000, 
5.200000,4.445110,0.000000,119.210000,117.080000,0.000000,0.100000, 
5.216667,4.445110,0.000000,119.540000,117.410000,0.000000,0.100000, 
5.233333,4.445110,0.000000,119.870000,117.750000,0.000000,0.100000, 
5.250000,4.445110,0.000000,120.210000,118.090000,0.000000,0.100000, 
5.266667,4.445075,0.000000,120.540000,118.420000,0.000000,0.100000, 
5.283333,4.445075,0.000000,120.880000,118.760000,0.000000,0.100000, 
5.300000,4.445039,0.000000,121.210000,119.090000,0.000000,0.100000, 
5.316667,4.445039,0.000000,121.540000,119.430000,0.000000,0.100000, 
5.333333,4.445039,0.000000,121.870000,119.770000,0.000000,0.100000, 
5.350000,4.445004,0.000000,122.210000,120.090000,0.000000,0.100000, 
5.366667,4.445004,0.000000,122.540000,120.430000,0.000000,0.100000, 
5.383333,4.445004,0.000000,122.880000,120.760000,0.000000,0.100000, 
5.400000,4.444968,0.000000,123.210000,121.100000,0.000000,0.100000, 
5.416667,4.444968,0.000000,123.540000,121.430000,0.000000,0.100000, 
5.433333,4.444968,0.000000,123.870000,121.770000,0.000000,0.100000, 
5.450000,4.444933,0.000000,124.210000,122.110000,0.000000,0.100000, 
5.466667,4.444897,0.000000,124.540000,122.440000,0.000000,0.100000, 
5.483333,4.444897,0.000000,124.880000,122.780000,0.000000,0.100000, 
5.500000,4.444862,0.000000,125.210000,123.110000,0.000000,0.100000, 
5.516667,4.444862,0.000000,125.540000,123.450000,0.000000,0.100000, 
5.533333,4.444826,0.000000,125.870000,123.780000,0.000000,0.100000, 
5.550000,4.444826,0.000000,126.210000,124.120000,0.000000,0.100000, 
5.566667,4.444791,0.000000,126.540000,124.450000,0.000000,0.100000, 
5.583333,4.444755,0.000000,126.880000,124.780000,0.000000,0.100000, 
5.600000,4.444720,0.000000,127.210000,125.120000,0.000000,0.100000, 
5.616667,4.444720,0.000000,127.540000,125.450000,0.000000,0.100000, 
5.633333,4.444684,0.000000,127.870000,125.790000,0.000000,0.100000, 
5.650000,4.444684,0.000000,128.210000,126.120000,0.000000,0.100000, 
5.666667,4.444649,0.000000,128.540000,126.460000,0.000000,0.100000, 
5.683333,4.444649,0.000000,128.870000,126.800000,0.000000,0.100000, 
5.700000,4.444613,0.000000,129.210000,127.130000,0.000000,0.100000, 
5.716667,4.444613,0.000000,129.540000,127.460000,0.000000,0.100000, 
5.733333,4.444578,0.000000,129.880000,127.800000,0.000000,0.100000, 
5.750000,4.444578,0.000000,130.210000,128.130000,0.000000,0.100000, 
5.766667,4.444542,0.000000,130.540000,128.470000,0.000000,0.100000, 
5.783333,4.444542,0.000000,130.880000,128.810000,0.000000,0.100000, 
5.800000,4.444507,0.000000,131.210000,129.140000,0.000000,0.100000, 
