Storage Modulus (MPa),,,,,,,Loss Modulus (MPa),,,,,,,Tan Delta,,,,,
PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,,,PC/ABS 0.1Hz,,PC/ABS 1Hz,,PC/ABS 10Hz,
Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),Temperature (℃),Storage Modulus (MPa),,Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),Temperature (℃),Loss Modulus (MPa),,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta,Temperature (℃),Tan Delta
,,143.317,141.512,127.659,1043.3,,,,143.317,123.199,127.659,146.82,,,,143.317,0.87059,127.659,0.14073
,,143.615,127.779,127.967,1031.88,,,,143.615,116.892,127.967,145.252,,,,143.615,0.9148,127.967,0.14076
,,143.913,114.833,128.205,1021.96,,,,143.913,110.224,128.205,143.822,,,,143.913,0.95987,128.205,0.14073
,,144.21,103.498,128.474,1010.94,,,,144.21,103.701,128.474,142.297,,,,144.21,1.00196,128.474,0.14076
,,144.51,93.3248,128.714,1000.31,,,,144.51,97.6806,128.714,140.889,,,,144.51,1.04667,128.714,0.14085
,,144.805,84.1109,128.985,987.848,,,,144.805,91.7893,128.985,139.413,,,,144.805,1.09129,128.985,0.14113
,,145.107,75.9464,129.225,976.102,,,,145.107,86.2442,129.225,138.196,,,,145.107,1.13559,129.225,0.14158
,,145.42,69.8824,129.534,962.527,,,,145.42,81.7707,129.534,136.91,,,,145.42,1.17012,129.534,0.14224
,,145.724,58.6288,129.795,950.17,,,,145.724,71.0374,129.795,135.584,,,,145.724,1.21165,129.795,0.14269
,,146.03,54.7339,130.031,939.52,,,,146.03,68.0975,130.031,134.225,,,,146.03,1.24415,130.031,0.14287
,,146.327,54.0997,130.31,927.968,,,,,,130.31,132.547,,,,146.327,1.34427,130.31,0.14284
,,146.62,52.2648,130.542,917.593,,,,,,130.542,130.932,,,,146.62,1.44786,130.542,0.14269
,,147.206,47.1821,130.808,906.237,,,,,,130.808,129.092,,,,147.206,1.75315,130.808,0.14245
,,147.499,45.5154,131.113,894.379,,,,,,131.113,127.161,,,,147.499,1.86147,131.113,0.14218
,,147.801,44.3919,131.357,885.004,,,,,,131.357,125.637,,,,147.801,1.92868,131.357,0.14196
,,148.098,44.2826,131.628,874.901,,,,,,131.628,123.959,,,,148.098,1.93791,131.628,0.14168
,,148.398,44.8571,131.897,865.192,,,,,,131.897,122.351,,,,148.398,1.90097,131.897,0.14142
,,149.007,44.6465,132.167,855.302,,,,,,132.167,120.743,,,,149.007,1.9051,132.167,0.14117
,,149.317,43.7896,132.441,845.988,,,,,,132.441,119.288,,,,149.317,1.94396,132.441,0.141
,,149.636,41.4603,132.68,838.199,,,,,,132.68,118.162,,,,149.636,2.06955,132.68,0.14097
